Animal	Tag	Sex	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
C57 A 1	981098104282931	Male	C57 A		2012-08-28 15:42:49.031	2012-08-31 11:12:56.750	1	493	8762.71	1130	2863.634	6369	853.388875	353.224	84.4	416	81.9	926	0.0	0	0.0	0
C57 A 2	981098104281654	Male	C57 A		2012-08-28 15:35:28.515	2012-08-31 11:28:17.109	2	281	11367.974	867	3101.508	5962	662.530125	249.028	82.2	231	83.3	722	0.0	0	0.0	0
C57 A 3	981098104282989	Male	C57 A		2012-08-28 15:37:41.203	2012-08-31 11:42:50.203	1	467	10690.272	1111	2259.4	4684	646.233875	272.032	84.8	396	79.7	886	0.0	0	0.0	0
C57 A 4	981098104282431	Male	C57 A		2012-08-28 15:36:38.734	2012-08-31 11:32:54.234	2	481	9254.967	1033	2409.346	6627	737.61725	246.269	65.1	313	72.8	752	0.0	0	0.0	0
C57 A 5	981098104282496	Male	C57 A		2012-08-28 15:36:31.640	2012-08-31 11:30:57.984	1	251	12586.322	659	3044.168	7600	976.888125	306.8	69.3	174	72.7	479	0.0	0	0.0	0
C57 A 6	981098104281799	Male	C57 A		2012-08-28 16:29:02.703	2012-08-31 11:31:16.750	1	248	12973.476	729	2022.171	5811	803.6705	354.7	69.4	172	72.7	530	0.0	0	0.0	0
C57 A 7	981098104282860	Male	C57 A		2012-08-28 15:34:14.140	2012-08-31 11:37:30.171	3	463	15295.242	1597	2911.411	5326	713.31425	333.81	79.5	368	77.0	1229	0.0	0	0.0	0
C57 A 8	981098104282884	Male	C57 A		2012-08-28 15:35:40.203	2012-08-31 11:26:21.500	4	503	14356.564	1075	2964.401	6324	876.6565	358.14	81.3	409	77.7	835	0.0	0	0.0	0
C57 A 9	981098104282669	Male	C57 A		2012-08-28 15:34:27.375	2012-08-31 11:33:40.218	1	458	12917.298	1407	2950.539	8442	979.5035	427.358	77.1	353	78.3	1102	0.0	0	0.0	0
C57 A 10	981098104281067	Male	C57 A		2012-08-28 15:35:20.828	2012-08-31 11:36:02.906	2	445	16535.04	1569	3297.214	9340	1095.79825	479.029	75.7	337	78.6	1234	0.0	0	0.0	0
C57 A 11	981098104282249	Male	C57 A		2012-08-28 16:38:23.625	2012-08-31 10:39:37.062	1	339	11037.931	1154	3761.405	13726	1554.184125	607.924	78.2	265	77.0	889	0.0	0	0.0	0
C57 B 1	981098104282972	Male	C57 B		2012-08-28 15:40:56.437	2012-08-31 10:57:46.890	4	451	6626.443	800	2194.294	7111	990.01725	166.079	84.3	380	82.5	660	0.0	0	0.0	0
C57 B 2	981098104282678	Male	C57 B		2012-08-28 15:39:14.125	2012-08-31 10:47:48.390	4	325	12996.665	912	3938.604	5396	884.33925	85.2250000000001	79.7	259	85.2	777	0.0	0	0.0	0
C57 B 3	981098104282715	Male	C57 B		2012-08-28 15:40:33.875	2012-08-31 11:18:16.359	4	441	20097.483	1341	2904.744	10138	1320.968375	249.118	81.2	358	84.9	1138	0.0	0	0.0	0
C57 B 4	981098104281031	Male	C57 B		2012-08-28 15:34:18.625	2012-08-31 11:11:10.593	2	223	7572.118	594	2804.906	5216	830.966125	144.41	81.2	181	81.5	484	0.0	0	0.0	0
C57 B 5	981098104282639	Male	C57 B		2012-08-28 15:36:18.687	2012-08-31 10:42:14.625	2	331	15817.812	1098	3396.303	10245	1387.313375	330.515	70.1	232	73.7	809	0.0	0	0.0	0
C57 B 6	981098104281496	Male	C57 B		2012-08-28 15:39:44.546	2012-08-31 11:08:55.906	4	255	9649.013	705	2799.768	8340	1210.113875	246.978	75.7	193	77.6	547	0.0	0	0.0	0
C57 B 7	981098104282835	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 8	981098104281312	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 9	981098104281754	Male	C57 B		2012-08-28 15:34:40.140	2012-08-31 10:33:22.671	2	278	7881.219	965	2533.808	5140	783.297625	120.218	72.3	201	65.9	636	0.0	0	0.0	0
C57 B 10	981098104282689	Male	C57 B		2012-08-28 15:39:22.421	2012-08-31 11:33:23.375	3	420	6838.832	1156	3248.144	8397	1193.9355	201.159	78.6	330	79.5	919	0.0	0	0.0	0
C57 B 11	981098104282294	Male	C57 B		2012-08-28 15:36:49.000	2012-08-31 10:26:16.687	3	160	2864.383	303	1250.277	3103	450.385375	69.596	48.8	78	63.0	191	0.0	0	0.0	0
C57 B 12	981098104281461	Male	C57 B		2012-08-28 15:38:49.843	2012-08-31 11:29:37.421	2	249	5530.435	531	2629.593	6514	987.77925	112.806	74.3	185	74.0	393	0.0	0	0.0	0
