VisitID	NosepokeOrder	Animal	Tag	Sex	Group	Cage	Corner	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	NosepokeDuration	LickStartTime
0	0	C57 A 4	981098104282431	Male	C57 A	2	1	2	Incorrect	1	0	0	0	0	0	2012-08-31	11:47:22.859	51.109	2012-08-31	11:47:26.078	54.328	3.219	
0	1	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:47:27.718	55.968	2012-08-31	11:47:28.234	56.484	0.516	
0	2	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:47:30.359	58.609	2012-08-31	11:47:30.765	59.015	0.406	
0	3	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:47:33.296	61.546	2012-08-31	11:47:33.500	61.75	0.204	
2	0	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:48:25.640	113.89	2012-08-31	11:48:26.000	114.25	0.36	
2	1	C57 A 4	981098104282431	Male	C57 A	2	1	2	Incorrect	1	0	0	0	0	0	2012-08-31	11:48:27.812	116.062	2012-08-31	11:48:27.921	116.171	0.109	
2	2	C57 A 4	981098104282431	Male	C57 A	2	1	2	Incorrect	1	0	0	0	0	0	2012-08-31	11:48:28.328	116.578	2012-08-31	11:48:28.625	116.875	0.297	
2	3	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:48:30.250	118.5	2012-08-31	11:48:30.375	118.625	0.125	
4	0	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:48:47.593	135.843	2012-08-31	11:48:47.875	136.125	0.282	
5	0	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:48:53.281	141.531	2012-08-31	11:48:53.593	141.843	0.312	
7	0	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:49:22.343	170.593	2012-08-31	11:49:22.828	171.078	0.485	
7	1	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:49:24.531	172.781	2012-08-31	11:49:25.031	173.281	0.5	
9	0	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:49:37.843	186.093	2012-08-31	11:49:38.468	186.718	0.625	
9	1	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:49:40.625	188.875	2012-08-31	11:49:41.093	189.343	0.468	
9	2	C57 A 4	981098104282431	Male	C57 A	2	1	1	Incorrect	1	0	0	0	0	0	2012-08-31	11:49:42.187	190.437	2012-08-31	11:49:42.421	190.671	0.234	
10	0	C57 A 4	981098104282431	Male	C57 A	2	1	2	Incorrect	1	0	0	0	0	0	2012-08-31	11:49:52.515	200.765	2012-08-31	11:49:53.171	201.421	0.656	
10	1	C57 A 4	981098104282431	Male	C57 A	2	1	2	Incorrect	1	0	0	0	0	0	2012-08-31	11:49:53.484	201.734	2012-08-31	11:49:53.953	202.203	0.469	
11	0	C57 A 4	981098104282431	Male	C57 A	2	1	2	Incorrect	1	0	0	0	0	0	2012-08-31	11:49:57.734	205.984	2012-08-31	11:49:58.203	206.453	0.469	
13	0	C57 A 4	981098104282431	Male	C57 A	2	2	3	Correct	0	0	0	0	0	0	2012-08-31	11:50:22.750	231	2012-08-31	11:50:24.546	232.796	1.796	
13	1	C57 A 4	981098104282431	Male	C57 A	2	2	4	Correct	0	0	0	0	0	0	2012-08-31	11:50:26.828	235.078	2012-08-31	11:50:28.546	236.796	1.718	
13	2	C57 A 4	981098104282431	Male	C57 A	2	2	3	Correct	0	0	0	0	0	0	2012-08-31	11:50:29.359	237.609	2012-08-31	11:50:30.140	238.39	0.781	
13	3	C57 A 4	981098104282431	Male	C57 A	2	2	3	Correct	0	0	0	0	0	0	2012-08-31	11:50:31.093	239.343	2012-08-31	11:50:31.562	239.812	0.469	
13	4	C57 A 4	981098104282431	Male	C57 A	2	2	4	Correct	0	0	0	0	0	0	2012-08-31	11:50:39.843	248.093	2012-08-31	11:50:41.359	249.609	1.516	
16	0	C57 A 10	981098104281067	Male	C57 A	2	4	7	Correct	0	0	0	0	0	0	2012-08-31	11:51:20.781	289.031	2012-08-31	11:51:20.890	289.14	0.109	
16	1	C57 A 10	981098104281067	Male	C57 A	2	4	7	Correct	0	0	0	0	0	0	2012-08-31	11:51:21.015	289.265	2012-08-31	11:51:21.093	289.343	0.078	
21	0	C57 A 10	981098104281067	Male	C57 A	2	2	3	Incorrect	1	0	0	0	0	0	2012-08-31	11:51:52.656	320.906	2012-08-31	11:51:57.093	325.343	4.437	
21	1	C57 A 10	981098104281067	Male	C57 A	2	2	3	Incorrect	1	0	0	0	0	0	2012-08-31	11:51:57.218	325.468	2012-08-31	11:51:59.437	327.687	2.219	
21	2	C57 A 10	981098104281067	Male	C57 A	2	2	3	Incorrect	1	0	0	0	0	0	2012-08-31	11:52:05.625	333.875	2012-08-31	11:52:08.093	336.343	2.468	
21	3	C57 A 10	981098104281067	Male	C57 A	2	2	3	Incorrect	1	0	0	0	0	0	2012-08-31	11:52:08.187	336.437	2012-08-31	11:52:08.265	336.515	0.078	
21	4	C57 A 10	981098104281067	Male	C57 A	2	2	4	Incorrect	1	0	0	0	0	0	2012-08-31	11:52:13.328	341.578	2012-08-31	11:52:16.140	344.39	2.812	
21	5	C57 A 10	981098104281067	Male	C57 A	2	2	4	Incorrect	1	0	0	0	0	0	2012-08-31	11:52:24.359	352.609	2012-08-31	11:52:26.328	354.578	1.969	
21	6	C57 A 10	981098104281067	Male	C57 A	2	2	4	Incorrect	1	0	0	0	0	0	2012-08-31	11:52:26.671	354.921	2012-08-31	11:52:27.671	355.921	1	
