VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
0	0	C57 A 4	981098104282431	Male	C57 A	Default	2	1	Incorrect	1	4	0	0	4	4.345	0	0	0	2012-08-31	11:47:18.718	46.968	2012-08-31	11:47:41.484	69.734	22.766	1
2	1	C57 A 4	981098104282431	Male	C57 A	Default	2	1	Incorrect	1	4	0	0	4	0.891	0	0	0	2012-08-31	11:48:24.296	112.546	2012-08-31	11:48:31.359	119.609	7.063	1
3	2	C57 A 4	981098104282431	Male	C57 A	Default	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2012-08-31	11:48:36.328	124.578	2012-08-31	11:48:38.921	127.171	2.593	1
4	3	C57 A 4	981098104282431	Male	C57 A	Default	2	1	Incorrect	1	1	0	0	1	0.282	0	0	0	2012-08-31	11:48:46.828	135.078	2012-08-31	11:48:48.906	137.156	2.078	1
5	4	C57 A 4	981098104282431	Male	C57 A	Default	2	1	Incorrect	1	1	0	0	1	0.312	0	0	0	2012-08-31	11:48:52.203	140.453	2012-08-31	11:48:54.578	142.828	2.375	1
6	5	C57 A 4	981098104282431	Male	C57 A	Default	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2012-08-31	11:48:57.609	145.859	2012-08-31	11:48:59.593	147.843	1.984	1
7	6	C57 A 4	981098104282431	Male	C57 A	Default	2	1	Incorrect	1	2	0	0	2	0.985	0	0	0	2012-08-31	11:49:21.906	170.156	2012-08-31	11:49:26.093	174.343	4.187	1
9	7	C57 A 4	981098104282431	Male	C57 A	Default	2	1	Incorrect	1	3	0	0	3	1.327	0	0	0	2012-08-31	11:49:36.812	185.062	2012-08-31	11:49:43.453	191.703	6.641	1
10	8	C57 A 4	981098104282431	Male	C57 A	Default	2	1	Incorrect	1	2	0	0	2	1.125	0	0	0	2012-08-31	11:49:51.734	199.984	2012-08-31	11:49:55.031	203.281	3.297	1
11	9	C57 A 4	981098104282431	Male	C57 A	Default	2	1	Incorrect	1	1	0	0	1	0.469	0	0	0	2012-08-31	11:49:56.625	204.875	2012-08-31	11:49:59.281	207.531	2.656	1
13	10	C57 A 4	981098104282431	Male	C57 A	Default	2	2	Correct	0	0	0	0	5	6.28	0	0	0	2012-08-31	11:50:21.875	230.125	2012-08-31	11:50:52.187	260.437	30.312	1
23	11	C57 A 4	981098104282431	Male	C57 A	Default	2	2	Correct	0	0	0	0	0	0	0	0	0	2012-08-31	11:52:39.375	367.625	2012-08-31	11:52:48.281	376.531	8.906	1
16	0	C57 A 10	981098104281067	Male	C57 A	Default	2	4	Correct	0	0	0	0	2	0.187	0	0	0	2012-08-31	11:50:57.968	266.218	2012-08-31	11:51:34.640	302.89	36.672	1
21	1	C57 A 10	981098104281067	Male	C57 A	Default	2	2	Incorrect	1	9	0	0	9	16.748	0	0	0	2012-08-31	11:51:47.203	315.453	2012-08-31	11:52:38.375	366.625	51.172	1
24	2	C57 A 10	981098104281067	Male	C57 A	Default	2	2	Incorrect	1	10	0	0	10	11.939	0	0	0	2012-08-31	11:52:52.406	380.656	2012-08-31	11:53:40.703	428.953	48.297	1
26	3	C57 A 10	981098104281067	Male	C57 A	Default	2	1	Incorrect	1	8	0	0	8	14.313	0	0	0	2012-08-31	11:53:42.781	431.031	2012-08-31	11:54:20.765	469.015	37.984	1
15	0	C57 B 10	981098104282689	Male	C57 B	Default	1	2	Incorrect	1	2	0	0	2	1.921	0	0	0	2012-08-31	11:50:44.828	253.078	2012-08-31	11:50:56.375	264.625	11.547	1
17	1	C57 B 10	981098104282689	Male	C57 B	Default	1	2	Incorrect	1	2	0	0	2	0.718	0	0	0	2012-08-31	11:50:59.109	267.359	2012-08-31	11:51:01.375	269.625	2.266	1
18	2	C57 B 10	981098104282689	Male	C57 B	Default	1	2	Incorrect	1	1	0	0	1	0.578	0	0	0	2012-08-31	11:51:16.906	285.156	2012-08-31	11:51:18.625	286.875	1.719	1
19	3	C57 B 10	981098104282689	Male	C57 B	Default	1	2	Incorrect	1	1	0	0	1	0.828	0	0	0	2012-08-31	11:51:35.781	304.031	2012-08-31	11:51:37.484	305.734	1.703	1
25	0	C57 B 12	981098104281461	Male	C57 B	Default	1	2	Incorrect	1	3	0	0	3	4.062	0	0	0	2012-08-31	11:53:06.765	395.015	2012-08-31	11:53:17.281	405.531	10.516	1
