Animal	Tag	Sex	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
C57 A 1	981098104282931	Male	C57 A		2012-08-31 12:35:17.328	2012-09-13 13:32:49.843	2	2023	38695.489	4175	15590.432	41354	4540.02675	1119.848	76.9	1556	70.5	2943	0.0	0	0.0	0
C57 A 2	981098104281654	Male	C57 A		2012-08-31 12:30:08.250	2012-09-13 13:29:09.968	4	1456	61422.457	3332	13702.726	32953	3716.054	879.986	66.5	968	61.3	2044	0.0	0	0.0	0
C57 A 3	981098104282989	Male	C57 A		2012-08-31 12:26:47.531	2012-09-13 13:33:35.281	2	2312	56932.8880000001	4577	17320.582	49182	5289.4965	1443.051	70.7	1635	62.7	2871	0.0	0	0.0	0
C57 A 4	981098104282431	Male	C57 A		2012-08-31 12:46:28.031	2012-09-13 13:33:12.234	4	2314	74807.6829999999	3898	17969.868	45225	5427.365	1466.976	62.7	1450	62.1	2420	0.0	0	0.0	0
C57 A 5	981098104282496	Male	C57 A		2012-08-31 12:00:24.125	2012-09-13 13:32:10.906	1	1275	86856.096	3466	19329.656	35806	4437.844625	1164.486	52.5	669	51.7	1791	0.0	0	0.0	0
C57 A 6	981098104281799	Male	C57 A		2012-08-31 12:57:22.109	2012-09-13 12:06:59.156	2	1023	75006.091	3018	12345.493	45567	5103.444375	1925.5	55.3	566	61.0	1842	0.0	0	0.0	0
C57 A 7	981098104282860	Male	C57 A		2012-08-31 12:08:52.250	2012-09-13 13:31:37.515	4	1441	64337.2109999999	3477	15836.95	37774	4470.03225	1239.644	67.8	977	64.0	2227	0.0	0	0.0	0
C57 A 8	981098104282884	Male	C57 A		2012-08-31 12:00:55.296	2012-09-13 13:33:52.703	4	2148	164419.3	6163	31926.434	60113	7003.787	2180.897	70.2	1508	59.1	3640	0.0	0	0.0	0
C57 A 9	981098104282669	Male	C57 A		2012-08-31 11:59:30.718	2012-09-13 13:34:57.343	2	2004	86984.402	4440	12760.007	36077	3884.5445	1200.439	79.1	1585	72.3	3211	0.0	0	0.0	0
C57 A 10	981098104281067	Male	C57 A		2012-08-31 12:05:38.171	2012-09-13 13:33:04.656	2	2181	123077.299	4884	18465.2909999999	46883	5741.393625	2252.192	62.0	1353	62.1	3032	0.0	0	0.0	0
C57 A 11	981098104282249	Male	C57 A		2012-08-31 12:15:43.312	2012-09-13 13:32:18.593	4	1821	68657.864	5028	20483.301	52620	6525.185	2328.964	59.5	1083	60.0	3018	0.0	0	0.0	0
C57 B 1	981098104282972	Male	C57 B		2012-08-31 12:05:29.234	2012-09-13 10:49:54.250	1	1075	42131.501	2594	11821.787	29640	4315.277375	839.336000000001	76.2	819	72.1	1869	0.0	0	0.0	0
C57 B 2	981098104282678	Male	C57 B		2012-08-31 12:31:51.843	2012-09-13 12:15:53.968	4	1849	98564.3890000001	4147	20473.303	33505	5388.848625	585.303000000001	66.8	1235	64.8	2689	0.0	0	0.0	0
C57 B 3	981098104282715	Male	C57 B		2012-08-31 12:39:02.531	2012-09-13 13:33:09.812	1	2122	220042.01	8773	35537.472	81967	10550.069875	2802.997	66.0	1401	48.6	4264	0.0	0	0.0	0
C57 B 4	981098104281031	Male	C57 B		2012-08-31 12:21:16.765	2012-09-13 13:32:35.375	4	982	43707.451	2659	13575.467	28520	4482.54275	742.308	64.1	629	69.5	1849	0.0	0	0.0	0
C57 B 5	981098104282639	Male	C57 B		2012-08-31 12:10:36.656	2012-09-13 11:19:02.375	2	1727	90982.016	4726	24547.829	66052	8992.04275	1682.493	63.8	1101	63.5	2999	0.0	0	0.0	0
C57 B 6	981098104281496	Male	C57 B		2012-08-31 13:01:28.765	2012-09-13 11:14:35.687	2	847	32881.337	2104	10909.506	30072	4449.909875	930.785000000001	74.1	628	77.0	1620	0.0	0	0.0	0
C57 B 7	981098104282835	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 8	981098104281312	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 9	981098104281754	Male	C57 B		2012-08-31 12:34:43.578	2012-09-13 12:19:36.828	1	1249	46039.7189999999	4116	17228.957	38038	5533.407375	867.803000000001	63.3	791	68.5	2819	0.0	0	0.0	0
C57 B 10	981098104282689	Male	C57 B		2012-08-31 11:59:57.171	2012-09-13 13:35:00.484	4	1335	42723.546	3454	15868.294	38937	5895.911875	939.743999999999	66.1	883	61.6	2126	0.0	0	0.0	0
C57 B 11	981098104282294	Male	C57 B		2012-08-31 13:25:35.703	2012-09-13 06:42:52.203	4	808	21103.629	2248	10639.327	29029	4187.725125	801.453	58.7	474	65.1	1463	0.0	0	0.0	0
C57 B 12	981098104281461	Male	C57 B		2012-08-31 12:02:42.031	2012-09-13 13:32:02.875	1	1280	41762.508	2652	16201.984	42416	6556.5965	829.984999999999	53.4	684	56.6	1502	0.0	0	0.0	0
