Animal	Tag	Sex	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
FVB strain animal 1	981098104172985	Female	FVB strain		2016-07-20 12:00:10.593	2016-07-28 07:54:17.859	2	1049	14622.389	1673	4308.855	23255	2017.748125	937.161	70.3	737	56.3	942	0.0	0	0.0	0
FVB strain animal 2	981098104810409	Female	FVB strain		2016-07-20 11:55:32.343	2016-07-28 07:56:23.531	2	1289	16442.469	1673	4037.729	20597	2001.395875	1081.191	71.0	915	61.7	1032	0.0	0	0.0	0
FVB strain animal 3	981098106286709	Female	FVB strain		2016-07-20 12:04:45.656	2016-07-28 07:55:56.000	2	527	18292.105	1562	13005.801	66714	6212.4435	3058.415	52.6	277	41.0	640	0.0	0	0.0	0
FVB strain animal 4	981098106286495	Female	FVB strain		2016-07-20 11:55:51.328	2016-07-28 07:55:45.515	3	1230	18196.431	2546	6028.247	30835	3964.8085	2165.101	52.0	639	51.8	1318	0.0	0	0.0	0
FVB strain animal 5	981098106283802	Female	FVB strain		2016-07-20 11:56:51.453	2016-07-28 07:55:01.093	2	1008	11916.076	1682	3784.682	18291	2417.014125	1446.298	56.3	567	55.5	933	0.0	0	0.0	0
FVB strain animal 6	981098106285524	Female	FVB strain		2016-07-20 11:59:49.781	2016-07-28 07:57:18.890	4	903	17139.849	2464	4958.556	23342	2645.311875	1163.404	56.5	510	59.1	1456	0.0	0	0.0	0
FVB strain animal 7	981098104532676	Female	FVB strain		2016-07-20 11:58:54.890	2016-07-28 07:27:48.906	4	1064	13564.845	1678	5513.317	14390	4421.67975	3406.42	60.6	645	49.9	838	0.0	0	0.0	0
FVB strain animal 8	981098104281119	Female	FVB strain		2016-07-20 11:56:38.890	2016-07-28 07:24:06.671	4	1248	16382.529	1804	5192.01	26594	3931.23025	2444.717	59.1	737	45.5	820	0.0	0	0.0	0
FVB strain animal 9	981098106285832	Female	FVB strain		2016-07-20 11:57:23.359	2016-07-28 07:56:17.109	2	1504	21273.711	2734	4857.913	15229	2918.449375	2103.664	72.4	1089	67.2	1837	0.0	0	0.0	0
FVB strain animal 10	981098104173135	Female	FVB strain		2016-07-20 11:55:32.625	2016-07-28 07:55:32.171	2	1570	17422.802	2318	5440.208	28777	2689.93475	914.761	53.8	844	47.9	1110	0.0	0	0.0	0
FVB strain animal 11	981098104282376	Female	FVB strain		2016-07-20 11:56:36.984	2016-07-28 07:56:00.703	3	1293	16482.324	2447	5246.319	31527	3027.85575	1346.122	61.2	791	46.5	1137	0.0	0	0.0	0
