VisitID	NosepokeOrder	Animal	Tag	Sex	Group	Cage	Corner	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	NosepokeDuration	LickStartTime
45	0	FVB strain animal 1	981098104172985	Female	FVB strain	3	4	7	Incorrect	1	0	0	0	0	0	2016-07-20	12:02:42.656	6691.313	2016-07-20	12:02:43.015	6691.672	0.359	
45	1	FVB strain animal 1	981098104172985	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	12:02:43.515	6692.172	2016-07-20	12:02:43.625	6692.282	0.11	
52	0	FVB strain animal 1	981098104172985	Female	FVB strain	3	2	4	Incorrect	1	0	0	0	0	0	2016-07-20	12:04:03.437	6772.094	2016-07-20	12:04:03.484	6772.141	0.047	
52	1	FVB strain animal 1	981098104172985	Female	FVB strain	3	2	4	Incorrect	1	0	0	0	0	0	2016-07-20	12:04:03.609	6772.266	2016-07-20	12:04:04.250	6772.907	0.641	
79	0	FVB strain animal 1	981098104172985	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	12:08:54.890	7063.547	2016-07-20	12:08:55.140	7063.797	0.25	
79	1	FVB strain animal 1	981098104172985	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	12:08:58.421	7067.078	2016-07-20	12:08:58.562	7067.219	0.141	
79	2	FVB strain animal 1	981098104172985	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	12:08:58.609	7067.266	2016-07-20	12:08:58.671	7067.328	0.062	
93	0	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	2	Correct	0	0	0	1	0.109375	0.042	2016-07-20	12:11:15.671	7204.328	2016-07-20	12:11:16.671	7205.328	1	
93	1	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:11:18.546	7207.203	2016-07-20	12:11:18.906	7207.563	0.36	
93	2	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:11:19.093	7207.75	2016-07-20	12:11:20.250	7208.907	1.157	
93	3	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:11:21.265	7209.922	2016-07-20	12:11:21.609	7210.266	0.344	
93	4	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	2	Correct	0	0	0	0	0	0	2016-07-20	12:11:24.328	7212.985	2016-07-20	12:11:24.875	7213.532	0.547	
95	0	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:11:32.484	7221.141	2016-07-20	12:11:32.515	7221.172	0.031	
95	1	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:11:32.578	7221.235	2016-07-20	12:11:33.984	7222.641	1.406	
95	2	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:11:34.562	7223.219	2016-07-20	12:11:34.656	7223.313	0.094	
95	3	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:11:35.625	7224.282	2016-07-20	12:11:35.671	7224.328	0.046	
95	4	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:11:38.296	7226.953	2016-07-20	12:11:39.359	7228.016	1.063	
95	5	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	2	Correct	0	0	0	0	0	0	2016-07-20	12:11:40.828	7229.485	2016-07-20	12:11:41.375	7230.032	0.547	
95	6	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:11:41.390	7230.047	2016-07-20	12:11:41.593	7230.25	0.203	
104	0	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:14:14.375	7383.032	2016-07-20	12:14:15.125	7383.782	0.75	
104	1	FVB strain animal 1	981098104172985	Female	FVB strain	3	1	1	Neutral	0	0	0	0	0	0	2016-07-20	12:14:45.093	7413.75	2016-07-20	12:14:45.687	7414.344	0.594	
